incidentdate,total_volume
2015-01-31,1797.1773128
2015-02-28,1296.956217
2015-03-31,3372.647676
2015-04-30,868.859004
2015-05-31,806.215969
2015-06-30,20751.081519000003
2015-07-31,8249.180846
2015-08-31,3588.6862
2015-09-30,3492.785888
2015-10-31,322.050141
2015-11-30,2463.63716
2015-12-31,507.64997500000004
2016-01-31,729.062826
2016-02-29,585.80509
2016-03-31,2003.093775
2016-04-30,2832.2585409999997
2016-05-31,1383.91219
2016-06-30,1279.42
2016-07-31,1956.618
2016-08-31,19963.3138
2016-09-30,1010.334
2016-10-31,2958.388101
2016-11-30,5535.310832
2016-12-31,2034.88929
2017-01-31,315.100174
2017-02-28,7265.231939
2017-03-31,2382.29162
2017-04-30,728.880666
2017-05-31,1580.2628
2017-06-30,1862.702856
2017-07-31,11534.843
2017-08-31,3077.732841
2017-09-30,1609.178639
2017-10-31,310.251966
2017-11-30,2511.394103
2017-12-31,1746.8609
2018-01-31,1424.564485
2018-02-28,2594.830129
2018-03-31,619.24714649
2018-04-30,2311.202573
2018-05-31,3966.6637140000003
2018-06-30,2385.112373
2018-07-31,2421.408879
2018-08-31,3891.577419
2018-09-30,1704.3179380000001
2018-10-31,2996.7345972
2018-11-30,2676.695108
2018-12-31,1225.8661490000002
2019-01-31,5574.259357
2019-02-28,10097.039699
2019-03-31,3197.280031
2019-04-30,1844.8786089999999
2019-05-31,1376.506307
2019-06-30,6879.213453
2019-07-31,1998.850227
2019-08-31,3334.6166705
2019-09-30,3074.946646
2019-10-31,1697.45090101
2019-11-30,5588.400799
2019-12-31,829.852374
2020-01-31,4818.7723638
2020-02-29,6520.2864660000005
2020-03-31,812.689227
2020-04-30,1649.95946502
2020-05-31,632.6366
2020-06-30,1983.436121
2020-07-31,2412.807925
2020-08-31,2022.141
2020-09-30,468.43
2020-10-31,454.072779
2020-11-30,1860.5660322
2020-12-31,1106.34206
2021-01-31,1754.0634005594
2021-02-28,16143.56876
2021-03-31,615.38709
2021-04-30,936.003232
2021-05-31,1127.465972
2021-06-30,329.466114
2021-07-31,843.007204
2021-08-31,467.27346
2021-09-30,13446.27
2021-10-31,3967.90249
2021-11-30,328.79013
2021-12-31,1132.3873
2022-01-31,816.46039
2022-02-28,1145.32327
2022-03-31,2626.259302
2022-04-30,280.50676
2022-05-31,1528.201889
2022-06-30,4314.55655
2022-07-31,6829.53377
2022-08-31,1354.39484
2022-09-30,547.496
2022-10-31,26789.917454
2022-11-30,2353.47745
2022-12-31,1958.93747
2023-01-31,2596.01314
2023-02-28,1171.07719
2023-03-31,1887.95561
2023-04-30,1043.72649
2023-05-31,3490.58262
2023-06-30,2076.111
2023-07-31,1077.3824
2023-08-31,214.32219
2023-09-30,1397.86245
2023-10-31,607.01526
2023-11-30,4770.713220000001
2023-12-31,340.89422
2024-01-31,1677.68687
2024-02-29,895.756346
2024-03-31,1643.13316
2024-04-30,2491.97019
2024-05-31,10167.76741
2024-06-30,1294.014664
2024-07-31,1464.504725
2024-08-31,1765.7301400000001
2024-09-30,579.197772
2024-10-31,1679.8239600000002
2024-11-30,4964.65728
2024-12-31,3264.8172
2025-01-31,522.1884699999999
2025-02-28,1439.64685
2025-03-31,916.529392
2025-04-30,572.0267
2025-05-31,807.5777
2025-06-30,4587.3766
2025-07-31,6.305001
